OBJECTID,Shape,ID_UNE,NOMBRE_SITIO,COD_COMUNA,COMUNA,BARRIO,DIRECCION,X_MAGNAMED,Y_MAGNAMED,LATITUD,LONGITUD
95,"(835588.8091000001, 1182549.5459000003)",WIFIMDE0197,Registraduría (Torres de Bomboná),10,10,1,CL 48 # 42 - 21 (Oficina 201),835588.8091,1182549.5459,6.24487305,-75.56298828
96,"(835575.2935, 1183636.5091)",ACP-2077752,Centro de Diversidad Sexual,10,10,1,CR 48 #  57 - 21,835575.2935,1183636.5091,6.25469971,-75.56311035
97,"(835534.7558000002, 1184676.213)",WIFIMDE0223,Estación Metroplus Hospital (interior),04,04,1,CL 67 - CR 51,835534.7558,1184676.213,6.26409912,-75.56347656
98,"(835521.2425000002, 1185425.6099999999)",WIFIMDE0022,Jardín Botánico,04,04,1,CL 73 # 51 D - 14,835521.2425,1185425.61,6.27087402,-75.56359863
99,"(835473.955, 1184345.3980999999)",WIFIMDE0001,Centro de Integración Afrocolombiano,10,10,1,CR 50 D # 62 - 95 (Prado Centro),835473.955,1184345.3981,6.2611084,-75.56402588
100,"(835453.6811000002, 1189496.6587)",WIFIMDE0313,Cancha de Fútbol Boyacá,05,05,1,CL 112 B - CR 65 A,835453.6811,1189496.6587,6.30767822,-75.56420898
101,"(835453.689, 1183413.7152)",WIFIMDE0027,Parque Bolívar,10,10,1,CL 48 - CL 55,835453.689,1183413.7152,6.25268555,-75.56420898
102,"(835419.9078, 1186046.7318000002)",WIFIMDE0011,Centro Cultural Moravia,04,04,1,CL 82 A # 52 - 25 Carabobo (sector Cuatro Bocas),835419.9078,1186046.7318,6.27648926,-75.56451416
103,"(835413.1543000002, 1182704.826)",WIFIMDE0068,Plazuela San Ignacio,10,10,1,CR 44 - CL 49 ,835413.1543,1182704.826,6.24627686,-75.5645752
104,"(835365.8643, 1189942.2461)",WIFIMDE0264,Placa Polideportiva Brisas del Norte,05,05,1,CR 67 B - CL 119 A,835365.8643,1189942.2461,6.31170654,-75.56500244
105,"(835311.8154, 1182839.8525)",WIFIMDE0324,Pasaje La Bastilla x Av La Playa,10,10,1,CR 48 - CL 52,835311.8154,1182839.8525,6.24749756,-75.56549072
106,"(835298.3057, 1184365.652)",ACP-2074818,Parque de la Vida (Centro),10,10,1,CR 51 D # 62 - 42,835298.3057,1184365.652,6.2612915,-75.56561279
107,"(835298.3071000003, 1185364.848)",WIFIMDE0034,Parque Explora,04,04,1,CR 52 # 73 -75,835298.3071,1185364.848,6.27032471,-75.56561279
108,"(835298.3098000002, 1187329.4836)",WIFIMDE0081,Unidad Permanente de Justicia (UPJ),05,05,1,CR 52 # 71 - 84 ,835298.3098,1187329.4836,6.28808594,-75.56561279
109,"(835264.5246000004, 1183082.9002999999)",WIFIMDE0318,Plazoleta Iglesia San José,10,10,1,CL 49 - CR 46,835264.5246,1183082.9003,6.24969482,-75.56591797
110,"(835264.5285, 1185142.0542000001)",WIFIMDE0030,Parque de Los deseos,04,04,1,CL 71 # 52 - 30,835264.5285,1185142.0542,6.26831055,-75.56591797
111,"(835257.7731, 1185270.3295)",WIFIMDE0209,Estación Metro Universidad (interior torniquete acceso parque Explora),04,04,1,CL 73 - CR 53,835257.7731,1185270.3295,6.26947021,-75.565979
112,"(835223.9864000003, 1182043.1964)",WIFIMDE0071,Centro de Salud San Lorenzo,10,10,1,CL 41 # 42 A - 68  ,835223.9864,1182043.1964,6.24029541,-75.56628418
113,"(835224.0036000002, 1188524.4681000002)",WIFIMDE0265,Parque del Viento - Cedezo Castilla,05,05,1,CR 65 - CL 103 E,835224.0036,1188524.4681,6.29888916,-75.56628418
114,"(835176.6974, 1182947.8739999998)",ACP-2076034,Cedezo Pasaje La Bastilla,10,10,1,CR 48 # 48 - 48,835176.6974,1182947.874,6.24847412,-75.56671143
115,"(835176.7098, 1186512.5735)",WIFIMDE0262,Placa Polideportiva Moravia,04,04,1,CR 58 - CL 87 AA,835176.7098,1186512.5735,6.28070068,-75.56671143
116,"(835176.6963, 1182617.0591000002)",WIFIMDE0316,Centro Comercial Bazar San Antonio,10,10,1,CL 47 # 45 - 87,835176.6963,1182617.0591,6.2454834,-75.56671143
117,"(835156.4398, 1185580.8908000002)",WIFIMDE0039,Parque Norte,04,04,1,CR 53 # 76 - 115,835156.4398,1185580.8908,6.27227783,-75.56689453
118,"(835122.6705, 1187552.2778)",WIFIMDE0102,Unidad Deportiva Tricentenario,05,05,1,CR 64 - CR 63 C,835122.6705,1187552.2778,6.2901001,-75.56719971
119,"(835109.1677, 1189253.6116)",WIFIMDE0322,Parque las Iguanas,05,05,1,CR 67 - CL 106 C,835109.1677,1189253.6116,6.30548096,-75.56732178
120,"(835088.8694, 1182684.5728)",WIFIMDE0032,Parque San Antonio,10,10,1,CL 47 - CR 46,835088.8694,1182684.5728,6.24609375,-75.56750488
121,"(835068.6044, 1183217.9275)",WIFIMDE0295,Estación Parque Berrio 2 (interior acceso torniquete Norte),10,10,1,CL 51 D - CR 50,835068.6044,1183217.9275,6.25091553,-75.56768799
122,"(835055.1241, 1188855.2837)",WIFIMDE0298,Estación Metrocable Sena Pedregal,05,05,1,CR 67 # 104 - 49,835055.1241,1188855.2837,6.30187988,-75.56781006
123,"(835055.1090000006, 1186161.5052)",WIFIMDE0261,Morro de Moravia,04,04,1,CR 60 # 82 - 59,835055.109,1186161.5052,6.27752686,-75.56781006
124,"(835055.0920000004, 1183103.1551)",WIFIMDE0025,Parque Berrío,10,10,1,CL 51 - CR 50,835055.092,1183103.1551,6.24987793,-75.56781006
125,"(835034.8629, 1189631.6861999999)",WIFIMDE0035,Parque Florencia,05,05,1,CL 113 - CR 70,835034.8629,1189631.6862,6.30889893,-75.56799317
126,"(835034.854, 1188105.8869)",WIFIMDE0151,Mascerca Castilla,05,05,1,CR 65 #  100 - 123,835034.854,1188105.8869,6.29510498,-75.56799316
127,"(835034.7977, 1178573.0163)",WIFIMDE0175,Parque Lleras,14,14,1,CR 40 - CL 9,835034.7977,1178573.0163,6.20892334,-75.56799316
128,"(835001.0449000002, 1183103.1554)",WIFIMDE0210,Estación Metro Parque Berrío (acceso sur),10,10,1,CL 51 D - CR 50,835001.0449,1183103.1554,6.24987793,-75.56829834
129,"(834987.5531, 1186066.987)",WIFIMDE0206,Plazoleta Estación Metro Caribe (exterior cancha Polideportiva Moravia Caribe),04,04,1,CR 52 - CL 67,834987.5531,1186066.987,6.27667236,-75.56842041
130,"(834987.5348, 1183346.2031999999)",WIFIMDE0135,Plaza Botero (Museo de Antioquia),10,10,1,CL 53 - CR 52 (Plazoleta Botero),834987.5348,1183346.2032,6.2520752,-75.56842041
131,"(834967.2995, 1187903.3475000001)",WIFIMDE0037,Parque Juanes de la Paz,05,05,1,CR 65 #  98 - 50,834967.2995,1187903.3475,6.29327393,-75.56860352
132,"(834967.3004, 1188038.3739999998)",WIFIMDE0084,UPSS Castilla,05,05,1,CR 65 # 98 - 115,834967.3004,1188038.374,6.29449463,-75.56860352
133,"(834953.771, 1185472.8706999999)",WIFIMDE0263,Parque Norte Zona Infantil,04,04,1,CR 53 # 76 - 115,834953.771,1185472.8707,6.27130127,-75.56872559
134,"(834892.9779, 1186357.2947000002)",WIFIMDE0207,Estación Metro Caribe Costado Norte (exterior torniquetes),05,05,1,CR 64 - CL 78,834892.9779,1186357.2947,6.27929688,-75.5692749
135,"(834892.9517000006, 1183217.9287)",WIFIMDE0323,Pasaje Carabobo (Frente Iglesia Veracruz),10,10,1,CR 52 - CL 51 A,834892.9517,1183217.9287,6.25091553,-75.5692749
136,"(834879.4361, 1182772.3414000003)",WIFIMDE0176,Estación Tranvía San Antonio - Plazoleta de Abordaje (exterior),10,10,1,CR 50 - CL 46,834879.4361,1182772.3414,6.24688721,-75.56939697
137,"(834865.9541, 1186161.5065000001)",WIFIMDE0208,Estación Metro Caribe Costado Sur (exterior torniquetes),05,05,1,CR 64 - CL 78,834865.9541,1186161.5065,6.27752686,-75.56951904
138,"(834865.9669, 1187599.5387)",WIFIMDE0080,Cav Palermo Parque Juanes de la Paz ,05,05,1,CR 65 # 96 - 10,834865.9669,1187599.5387,6.29052734,-75.56951904
139,"(834859.1688, 1182819.6008000001)",WIFIMDE0293,"Estación San Antonio 2 (interior plataforma abordaje linea A, hacia la Estrella)",10,10,1,CL 46 - CR 51,834859.1688,1182819.6008,6.24731445,-75.56958008
140,"(834825.3891, 1182819.6011)",WIFIMDE0292,"Estación San Antonio 1 (interior plataforma abordaje linea A, hacia Niquia)",10,10,1,CL 46 - CR 51,834825.3891,1182819.6011,6.24731445,-75.56988525
141,"(834778.0529, 1178458.2458000001)",WIFIMDE0303,Parque La Presidenta,14,14,1,CR 43 A - entre CL 7 & 8 ,834778.0529,1178458.2458,6.20788574,-75.5703125
142,"(834724.0154000005, 1179700.4902)",WIFIMDE0204,Canal Parque Telemedellín,14,14,1,CR 43 F # 18 - 60,834724.0154,1179700.4902,6.21911621,-75.57080078
143,"(834676.8022, 1186404.5562)",WIFIMDE0077,Terminal del Norte,05,05,1,CR 64 C # 78 - 580 ,834676.8022,1186404.5562,6.27972412,-75.57122803
144,"(834670.0256000005, 1184676.2171)",WIFIMDE0173,Aula Ambiental Paseo del Río,10,10,1,CR 62 # 65 - 01,834670.0256,1184676.2171,6.26409912,-75.57128906
145,"(834669.9534000006, 1178728.3)",ACP-2120652,Parque El Poblado,14,14,1,CR 43 A - CL 10,834669.9534,1178728.3,6.21032715,-75.57128906
146,"(834656.5668, 1188902.5466)",WIFIMDE0076,Teatro al Aire Libre y Parque El Pedregal,06,06,1,CL 105 # 72 A - 25,834656.5668,1188902.5466,6.30230713,-75.57141113
147,"(834636.2935, 1188301.6789000002)",ACP-2009605,Unidad Deportiva José René Higuita,05,05,1,CR 69 - CL 101,834636.2935,1188301.6789,6.296875,-75.57159424
148,"(834615.9388, 1181536.8517999998)",WIFIMDE0243,Perpetuo Socorro,10,10,1,CR 46 - CL 35,834615.9388,1181536.8518,6.23571777,-75.57177734
